_id;Focal Length;Aperture;Filtersize;Magnification;Minimal Focus;Mount;Sensor compatibility;Weight;Size;
Samyang 35mm T1.5 VDSLR AS UMC II;35mm;1:1.5;77mm;;0.30m;Sony E, Sony A, Samsung NX, Pentax K, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C/ Kleinbild;720g;83x137.5mm;
Samyang AE 35mm 1.4 AS UMC;35mm;1:1.4;77mm;;0.30m;Canon EF;APS-C/ Kleinbild;660g;83x111mm;
Zeiss Loxia 50mm 2.0;50mm;1:2.0;52mm;1:6.90;0.45m;Sony E;APS-C/ Kleinbild;320g;62x59mm;
Dörr Danubia 500mm 6.3 T2;500mm;1:6.3;95mm;;;T2;;596g;97x115mm;
Tamron SP AF 180mm 3.5 Di LD IF Makro 1:1;180mm;1:3.5;72mm;1:1.00;0.47m;Nikon F;APS-C/ Kleinbild;920g;84.8x165.7mm;
Pentax HD DA 21mm 3.2 AL Limited;21mm;1:3.2;49mm;1:5.88;0.20m;Pentax K;APS-C;134g;63x25mm;
Nikon AF-S VR DX 18-300mm 3.5-5.6G ED;18-300mm;1:3.5-1:5.6;77mm;1:3.20;0.45m;Nikon F;APS-C;830g;83x120mm;
Walimex Pro 10mm 3.1 VDSLR;10mm;1:3.1;;;0.24m;Canon EF;APS-C;600g;87x106.1mm;
Samyang 8mm 2.8 ED AS IF UMC Fisheye;8mm;1:2.8;;;0.30m;Samsung NX;APS-C;203g;60x48.3mm;
Pentax smc FA 645 75mm 2.8;75mm;1:2.8;58mm;1:5.56;0.60m;Pentax 645;APS-C/ Kleinbild;215g;74.5x37.5mm;
Sigma AF 85mm 1.4 EX DG HSM;85mm;1:1.4;77mm;1:8.60;0.85m;Canon EF;APS-C/ Kleinbild;719g;84.7x87.6mm;
Nikon AF-S VR 70-200mm 2.8E FL ED;70-200mm;1:2.8;77mm;1:4.80;1.10m;Nikon F;APS-C/ Kleinbild;1430g;88.5x202.5mm;
Pentax smc FA 645 55-110mm 5.6;55-110mm;1:5.6;82mm;1:6.25;0.80m;Pentax 645;APS-C/ Kleinbild;500g;88x104mm;
Sony FE 24-70mm 2.8 GM;24-70mm;1:2.8;82mm;1:4.17;0.38m;Sony E;APS-C/ Kleinbild;886g;87.6x136mm;
Leica Vario-Elmarit-SL 24-90mm 2.8-4.0 ASPH;24-90mm;1:2.8-1:4.0;82mm;;0.30m;Leica L;APS-C/ Kleinbild;1140g;88x138mm;
Olympus M.Zuiko digital 45mm 1.8;45mm;1:1.8;37mm;1:9.09;0.50m;Micro-Four-Thirds;Four-Thirds;116g;56x46mm;
Leica Elmarit-S 45mm 2.8 ASPH;45mm;1:2.8;82mm;1:10.10;0.60m;Leica S;APS-C/ Kleinbild;1300g;88x136mm;
Sony 16mm 2.8 Fisheye;16mm;1:2.8;;1:6.67;0.20m;Sony A;APS-C/ Kleinbild;400g;75x67mm;
Zeiss ZF Makro-Planar T* 50mm 2.0;50mm;1:2.0;67mm;;0.24m;Nikon F;APS-C/ Kleinbild;530g;72x65mm;
Canon EF 100-400mm 4.5-5.6 L IS II USM;100-400mm;1:4.5-1:5.6;77mm;1:3.23;0.98m;Canon EF;APS-C/ Kleinbild;1570g;94x193mm;
Sigma AF 10mm 2.8 EX DC HSM Diagonal Fisheye;10mm;1:2.8;;1:3.30;0.14m;Sigma SA, Nikon F;APS-C;;75.8x83.1mm;
Samyang 21mm T1.5 ED AS UMC CS;21mm;1:1.5;58mm;;0.28m;Sony E, Fujifilm X;APS-C;290g;73.6x67.6mm;
Samyang 10mm T3.1 ED AS NCS CS II VDSLR;10mm;1:3.1;;;0.24m;Fujifilm X, Canon EF;APS-C;635g;87x132.4mm;
Tamron SP AF 28-75mm 2.8 XR Di LD Asp IF Makro;28-75mm;1:2.8;67mm;1:3.90;0.33m;Nikon F, Pentax K, Sony A;APS-C/ Kleinbild;510g;73x92mm;
Sigma Art AF 50-100mm 1.8 DC HSM;50-100mm;1:1.8;82mm;1:6.70;0.95m;Sigma SA;APS-C;1490g;93.5x170.7mm;
Voking 12mm 2.8;12mm;1:2.8;72mm;;;Fujifilm X, Sony E, Nikon 1, Micro-Four-Thirds;APS-C;330g;;
Meike 28mm 2.8;28mm;1:2.8;49mm;1:9.09;;Micro-Four-Thirds;APS-C;102g;60.4x29mm;
Walimex Pro 800mm 8.0;800mm;1:8.0;35mm;;3.50m;Sony E, Micro-Four-Thirds, Sony A, Samsung NX, Pentax Q, Pentax K, Nikon F, Canon EF-M;APS-C;946g;111x113mm;
Tamron SP AF 90mm 2.8 Di Makro 1:1 mit AF-Motor;90mm;1:2.8;55mm;1:1.00;0.29m;Nikon F;APS-C/ Kleinbild;405g;71.5x97mm;
Nikon AF-S VR 200-500mm 5.6E ED;200-500mm;1:5.6;95mm;1:4.50;2.20m;Nikon F;APS-C/ Kleinbild;2300g;108x267.5mm;
Nikon AF-S Micro 60mm 2.8G ED;60mm;1:2.8;62mm;1:1.00;0.19m;Nikon F;APS-C/ Kleinbild;425g;73x89mm;
Tamron SP AF 17-50mm 2.8 XR Di II LD Asp IF mit AF-Motor;17-50mm;1:2.8;67mm;1:4.50;0.27m;Nikon F;APS-C;430g;73.8x83.2mm;
Nikon AF Micro 60mm 2.8D;60mm;1:2.8;62mm;1:1.00;0.22m;Nikon F;APS-C/ Kleinbild;440g;70x74.5mm;
Walimex Pro 14mm 3.1 VDSLR;14mm;1:3.1;;;0.28m;Sony E, Nikon 1, Sony A, Samsung NX, Nikon F, Micro-Four-Thirds, Fujifilm X;APS-C/ Kleinbild;643g;87x122.1mm;
Walimex Pro T-S 24mm 3.5;24mm;1:3.5;82mm;;0.20m;Sony E, Pentax K, Four-Thirds, Canon EF;APS-C/ Kleinbild;734g;86x139mm;
Nikon AF-P VR DX 70-300mm 4.5-6.3G ED;70-300mm;1:4.5-1:6.3;58mm;1:4.50;1.10m;Nikon F;APS-C;415g;72x125mm;
Tamron SP AF 70-200mm 2.8 Di USD;70-200mm;1:2.8;77mm;1:8.00;1.30m;Sony A;APS-C/ Kleinbild;1470g;85.8x188.3mm;
Sigma Art AF 24-70mm 2.8 DG OS HSM;24-70mm;1:2.8;82mm;1:4.76;0.37m;Canon EF;APS-C/ Kleinbild;1020g;88x107.6mm;
Tamron SP AF 85mm 1.8 Di USD;85mm;1:1.8;67mm;1:7.20;0.80m;Sony A;APS-C/ Kleinbild;700g;84.8x91.3mm;
Leica Summaron-M 28mm 5.6;28mm;1:5.6;34mm;1:33.40;1.00m;Leica M;APS-C/ Kleinbild;165g;51x18mm;
Canon EF-M 15-45mm 3.5-6.3 IS STM;15-45mm;1:3.5-1:6.3;49mm;1:4.00;0.25m;Canon EF-M;APS-C;130g;60.9x44.5mm;
Panasonic/Leica DG Elmarit 200mm 2.8 Power OIS;200mm;1:2.8;77mm;1:5.00;1.15m;Micro-Four-Thirds;Four-Thirds;1250g;88x174mm;
Walimex Pro 8mm 3.5 Fisheye;8mm;1:3.5;;;0.30m;Pentax K, Micro-Four-Thirds, Canon EF;APS-C;400g;75x100mm;
Hasselblad XCD 45mm 3.5;45mm;1:3.5;67mm;1:6.40;0.40m;Hasselblad X;Mittelformat;417g;77x75mm;
SLR Magic Hyper Prime 23mm 1.7;23mm;1:1.7;49mm;;;Micro-Four-Thirds;Four-Thirds;265g;50x61.3mm;
Nikon AF-S VR DX 18-200mm 3.5-5.6G IF-ED;18-200mm;1:3.5-1:5.6;72mm;1:4.55;0.50m;Nikon F;APS-C;560g;77x96.5mm;
Mitakon Speedmaster 85mm 1.2;85mm;1:1.2;77mm;;1.00m;Sony E;APS-C/ Kleinbild;921g;;
Canon EF-S 18-55mm 4.0-5.6 IS STM;18-55mm;1:4.0-1:5.6;58mm;1:4.00;0.25m;Canon EF-S;APS-C;215g;66.5x61.8mm;
Olympus Zuiko digital 11-22mm 2.8-3.5;11-22mm;1:2.8-1:3.5;72mm;1:7.69;0.28m;Four-Thirds;Four-Thirds;485g;75x92.5mm;
Sigma AF 55-200mm 4.0-5.6 DC;55-200mm;1:4.0-1:5.6;55mm;1:5.56;1.10m;Sigma SA;APS-C;310g;71x84.6mm;
Leica Summilux-TL 35mm 1.4 ASPH;35mm;1:1.4;60mm;1:9.40;0.40m;Leica L;APS-C/ Kleinbild;428g;70x77mm;
Fujifilm XF 23mm 1.4 R;23mm;1:1.4;62mm;1:10.00;0.28m;Fujifilm X;APS-C;300g;72x63mm;
Pentax HD DA 55-300mm 4.5-6.3 ED PLM WR RE;55-300mm;1:4.5-1:6.3;58mm;1:3.33;0.95m;Pentax K;APS-C;442g;76.5x89mm;
Walimex Pro 24mm 1.5 VDSLR;24mm;1:1.5;77mm;;0.25m;Sony E, Nikon F, Micro-Four-Thirds, Sony A, Samsung NX, Pentax K, Nikon 1, Canon EF;APS-C;638g;83x123.5mm;
Zeiss ZE Distagon T* 35mm 2.0;35mm;1:2.0;58mm;;0.30m;Canon EF;APS-C/ Kleinbild;530g;65x73mm;
Sigma Contemporary AF 150-600mm 5.0-6.3 DG OS HSM;150-600mm;1:5.0-1:6.3;95mm;1:5.00;2.80m;Canon EF, Nikon F, Sigma SA;APS-C/ Kleinbild;1930g;105x260.1mm;
Voigtländer VM Heliar 40mm 2.8;40mm;1:2.8;37mm;;0.50m;Leica M;Mittelformat;132g;51x12.6mm;
Sony 18-55mm 3.5-5.6 DT SAMIII;18-55mm;1:3.5-1:5.6;55mm;1:2.94;0.25m;Sony A;APS-C;222g;69.5x69mm;
Nikon AF 50mm 1.4D;50mm;1:1.4;52mm;1:7.14;0.45m;Nikon F;APS-C/ Kleinbild;230g;64.5x42.5mm;
Zeiss Loxia 35mm 2.0;35mm;1:2.0;52mm;1:5.80;0.30m;Sony E;APS-C/ Kleinbild;340g;62x59mm;
HandeVision Iberit 24mm 2.4;24mm;1:2.4;49mm;;0.25m;Sony E;APS-C/ Kleinbild;320g;58x68mm;
Nikon AF-S VR 70-200mm 4.0G ED;70-200mm;1:4.0;67mm;1:3.65;1.00m;Nikon F;APS-C/ Kleinbild;850g;78x179mm;
Sony E 10-18mm 4.0 OSS;10-18mm;1:4.0;62mm;1:10.00;0.25m;Sony E;APS-C;225g;70x63.5mm;
Samyang 50mm 1.2 AS UMC CS;50mm;1:1.2;62mm;;0.50m;Fujifilm X, Sony E, Canon EF-M;APS-C;380g;67.5x74.5mm;
Sony 18-250mm 3.5-6.3 DT;18-250mm;1:3.5-1:6.3;62mm;1:3.45;0.45m;Sony A;APS-C;440g;75x86mm;
Samyang 100mm T3.1 VDSLR ED UMC Makro;100mm;1:3.1;67mm;1:1.00;0.31m;Four-Thirds, Canon EF-M;Four-Thirds;740g;81.6x128.4mm;
Leica Elmarit-S 45mm 2.8 ASPH CS;45mm;1:2.8;82mm;1:10.10;0.60m;Leica S;APS-C/ Kleinbild;1300g;88x136mm;
Dörr 420-800mm 8.3 T2;420-800mm;1:8.3;67mm;;;T2;;680g;70x320mm;
Tamron SP AF 70-300mm 4.0-5.6 Di USD;70-300mm;1:4.0-1:5.6;62mm;1:4.00;1.50m;Sony A;APS-C/ Kleinbild;765g;81.5x142.7mm;
Tamron AF 18-200mm 3.5-6.3 XR Di II LD Asp IF Makro;18-200mm;1:3.5-1:6.3;62mm;1:3.70;0.45m;Canon EF-S, Sony A;APS-C;398g;73.8x83.7mm;
Voigtländer Classic Collection Nokton 35mm 1.4;35mm;1:1.4;43mm;;0.70m;Leica M;Mittelformat;200g;55x28.5mm;
Sigma Art AF 12-24mm 4.0 DG HSM;12-24mm;1:4.0;;1:4.90;0.24m;Nikon F, Canon EF, Sigma SA;APS-C/ Kleinbild;1150g;102x131m.5mGewicht:1.15kgmm;
Nikon AF-S 17-35mm 2.8D IF-ED;17-35mm;1:2.8;77mm;1:4.76;0.28m;Nikon F;APS-C/ Kleinbild;750g;83x106mm;
Dörr 12mm 7.4 Fisheye;12mm;1:7.4;;;0.30m;Sony E;APS-C;220g;65x59mm;
Voigtländer Classic Collection Ultron 21mm 1.8;21mm;1:1.8;58mm;;0.50m;Leica M;Mittelformat;412g;69x78.4mm;
Zeiss ZF.2 Milvus 35mm 2.0;35mm;1:2.0;58mm;1:5.30;0.30m;Nikon F;APS-C/ Kleinbild;649g;77x81.3mm;
Sony FE 100-400mm 4.5-5.6 GM OSS;100-400mm;1:4.5-1:5.6;77mm;1:2.86;0.98m;Sony E;APS-C/ Kleinbild;1400g;93.9x205mm;
Voigtländer Classic Collection Nokton 50mm 1.1;50mm;1:1.1;58mm;;1.00m;Leica M;Mittelformat;428g;69.6x57.2mm;
Samyang 50mm T1.3 AS UMC CS;50mm;1:1.3;62mm;;0.50m;Sony E, Canon EF-M;APS-C;400g;73.6x74.2mm;
Canon EF-S 10-18mm 4.5-5.6 IS STM;10-18mm;1:4.5-1:5.6;67mm;1:6.67;0.22m;Canon EF-S;APS-C;240g;74.6x72mm;
Fujifilm XF 50-140mm 2.8 R LM OIS WR;50-140mm;1:2.8;72mm;1:8.33;1.00m;Fujifilm X;APS-C;995g;82.9x175.9mm;
Meyer Optik Görlitz Primoplan 58mm 1.9;58mm;1:1.9;37mm;;;Sony E, Pentax K, Nikon F, Micro-Four-Thirds, M42, Leica M, Leica L, Fujifilm X, Canon EF;APS-C/ Kleinbild;200g;;
Olympus M.Zuiko digital 15mm 8.0 Body Cap Lens;15mm;1:8.0;;1:16.67;0.30m;Micro-Four-Thirds;Four-Thirds;22g;56x9mm;
Sigma Sports AF 120-300mm 2.8 DG HSM OS;120-300mm;1:2.8;105mm;1:8.10;1.50m;Nikon F, Canon EF, Sigma SA;APS-C/ Kleinbild;3390g;124.4x291mm;
Nikon AF-S 50mm 1.8G SE;50mm;1:1.8;58mm;1:6.70;0.45m;Nikon F;APS-C/ Kleinbild;190g;73x52.5mm;
Meyer Optik Görlitz Trioplan 100mm 2.8;100mm;1:2.8;52mm;;1.10m;Sony E, Nikon F, M42, Leica M, Fujifilm X;APS-C/ Kleinbild;800g;;
Canon EF-M 18-150mm 3.5-6.3 IS STM;18-150mm;1:3.5-1:6.3;55mm;1:4.76;0.25m;Canon EF-M;APS-C;300g;60.9x86.5mm;
Samsung NX 16-50mm 2.0-2.8 S ED OIS i-Function;16-50mm;1:2.0-1:2.8;;1:5.26;0.30m;Samsung NX;APS-C;622g;81x97mm;
Samyang 8mm T3.8 UMC Fisheye CS II VDSLR;8mm;1:3.8;;;0.30m;Sony E, Sony A, Samsung NX, Pentax K, Nikon F, Micro-Four-Thirds, Fujifilm X;APS-C;465g;77.8x101.1mm;
Canon EF 200mm 2.8 L II USM;200mm;1:2.8;72mm;1:6.25;1.50m;Canon EF;APS-C/ Kleinbild;765g;83.2x136mm;
Dörr 9.3mm 8.0 Fisheye;9.3mm;1:8.0;;;0.30m;Micro-Four-Thirds;APS-C;220g;65x57mm;
Meyer Optik Görlitz Trioplan 50mm 2.9;50mm;1:2.9;35.5mm;;0.25m;Sony E, Nikon F, M42, Leica M, Fujifilm X, Canon EF;APS-C/ Kleinbild;200g;;
Canon EF 70-300mm 4.0-5.6 L IS USM;70-300mm;1:4.0-1:5.6;67mm;1:4.76;1.20m;Canon EF;APS-C/ Kleinbild;1050g;89x143mm;
Canon EF 100mm 2.0 USM;100mm;1:2.0;58mm;1:7.14;0.90m;Canon EF;APS-C/ Kleinbild;460g;75x73.5mm;
Tamron SP AF 70-200mm 2.8 Di LD IF Makro;70-200mm;1:2.8;77mm;1:3.10;0.95m;Sony A, Nikon F, Pentax K;APS-C/ Kleinbild;1150g;89.5x194.3mm;
Olympus M.Zuiko digital ED 12mm 2.0 Limited Edition;12mm;1:2.0;46mm;1:12.50;0.20m;Micro-Four-Thirds;Four-Thirds;130g;56x43mm;
Samyang 21mm 1.4 ED AS UMC CS;21mm;1:1.4;58mm;;0.28m;Sony E, Micro-Four-Thirds, Fujifilm X;APS-C;275g;58x67.6mm;
Zeiss ZF.2 Makro-Planar T* 100mm 2.0;100mm;1:2.0;67mm;1:2.00;0.44m;Nikon F;APS-C/ Kleinbild;680g;76x89mm;
Canon EF-S 55-250mm 4.0-5.6 IS STM mit ET-63 und LC-Kit;55-250mm;1:4.0-1:5.6;58mm;1:3.45;0.85m;Canon EF-S;APS-C;375g;70x111mm;
Zeiss ZE Milvus 50mm 2.0 Makro;50mm;1:2.0;67mm;1:2.00;0.24m;Canon EF;APS-C/ Kleinbild;730g;81x75.3mm;
Panasonic Lumix G Vario 45-150mm 4.0-5.6 OIS;45-150mm;1:4.0-1:5.6;52mm;1:5.88;0.90m;Micro-Four-Thirds;Four-Thirds;200g;62x73mm;
Nikon Micro 55mm 2.8;55mm;1:2.8;52mm;;0.25m;Nikon F;APS-C/ Kleinbild;210g;62x63.5mm;
Walimex Pro 8mm 2.8 Fisheye;8mm;1:2.8;;;0.30m;Sony E;APS-C;215g;60x55.8mm;
Samyang 24mm T1.5 AS IF UMC II VDSLR;24mm;1:1.5;77mm;;0.26m;Four-Thirds, Canon EF-M;Four-Thirds;630g;83x102.8mm;
Voigtländer Classic Collection Nokton 40mm 1.4;40mm;1:1.4;;;0.70m;Leica M;Mittelformat;175g;55x29.7mm;
Meyer Optik Görlitz Trimagon 95mm 2.6;95mm;1:2.6;52mm;;;Sony E;APS-C/ Kleinbild;380g;55x122mm;
Sigma AF 800mm 5.6 EX DG APO HSM IF;800mm;1:5.6;46mm;1:8.80;7.00m;Nikon F, Sigma SA, Canon EF;APS-C/ Kleinbild;4900g;156.5x521mm;
Yongnuo 100mm 2.0;100mm;1:2.0;58mm;1:7.14;0.90m;Canon EF;APS-C/ Kleinbild;387g;76x83mm;
Voking 28mm 2.8;28mm;1:2.8;49mm;;0.25m;Sony E, Nikon 1, Fujifilm X, Canon EF-M;APS-C;102g;60.4x29mm;
Sigma AF 19mm 2.8 EX DN;19mm;1:2.8;46mm;1:7.40;0.20m;Micro-Four-Thirds;Four-Thirds;140g;60.6x45.7mm;
Pentax smc DA 10-17mm 3.5-4.5 ED Fisheye-Zoom;10-17mm;1:3.5-1:4.5;;1:2.63;0.14m;Pentax K;APS-C;320g;71.5x68mm;
Leica Noctilux-M 50mm 0.95 ASPH;50mm;1:0.95;60mm;1:17.00;1.00m;Leica M;APS-C/ Kleinbild;700g;73x75.1mm;
Pentax HD DA 70mm 2.4 Limited;70mm;1:2.4;49mm;1:8.33;0.70m;Pentax K;APS-C;131g;63x26mm;
Canon EF-S 15-85mm 3.5-5.6 IS USM;15-85mm;1:3.5-1:5.6;72mm;1:4.76;0.35m;Canon EF-S;APS-C;575g;81.6x87.5mm;
Dörr Danubia 500mm 8.0 T2;500mm;1:8.0;67mm;;;T2;;710g;70x315mm;
Samyang 20mm T1.9 ED AS UMC;20mm;1:1.9;77mm;;0.20m;Sony E;APS-C/ Kleinbild;546g;83x114.4mm;
SLR Magic Hyper Prime 25mm 0.95;25mm;1:0.95;52mm;;0.20m;Micro-Four-Thirds;Four-Thirds;475g;50x74.6mm;
Yongnuo 85mm 1.8;85mm;1:1.8;58mm;1:7.69;0.85m;Canon EF;APS-C/ Kleinbild;460g;81x79.5mm;
Leica Summarit-M 35mm 2.4 ASPH;35mm;1:2.4;;;0.80m;Leica M;APS-C/ Kleinbild;197g;52x34mm;
Canon EF-M 28mm 3.5 Macro IS STM;28mm;1:3.5;43mm;1:0.83;0.09m;Canon EF-M;APS-C;130g;60.9x45.5mm;
Tamron AF 55-200mm 4.0-5.6 Di II LD Makro;55-200mm;1:4.0-1:5.6;52mm;1:3.50;0.95m;Nikon F;APS-C;295g;71.6x83mm;
Canon EF 85mm 1.4 L IS USM;85mm;1:1.4;77mm;1:8.33;0.85m;Canon EF;APS-C/ Kleinbild;960g;88.6x105.4mm;
Nikon AF-S VR DX 55-300mm 4.5-5.6G ED;55-300mm;1:4.5-1:5.6;58mm;1:3.57;1.40m;Nikon F;APS-C;530g;76.5x123mm;
Pentax smc DA 300mm 4.0 ED IF SDM;300mm;1:4.0;77mm;1:4.17;1.40m;Pentax K;APS-C;1070g;83x184mm;
Zeiss Touit 50mm 2.8;50mm;1:2.8;52mm;1:1.00;0.15m;Fujifilm X, Sony E;APS-C;290g;65x91mm;
Zeiss Loxia 85mm 2.4;85mm;1:2.4;52mm;1:7.20;0.80m;Sony E;APS-C/ Kleinbild;594g;62.5x94.8mm;
Tamron SP AF 90mm 2.8 Di USD Makro 1:1;90mm;1:2.8;58mm;1:1.00;0.30m;Sony A;APS-C/ Kleinbild;550g;76.4x114.5mm;
Laowa 105mm 2.0 (T3.2) STF;105mm;1:2.0;67mm;1:6.15;0.90m;Sony A, Pentax K, Nikon F, Canon EF;APS-C/ Kleinbild;745g;76x98.9mm;
Samyang 650-1300mm 8.0-16.0 Asph MC IF;650-1300mm;1:8.0-1:16.0;95mm;;5.00m;;APS-C/ Kleinbild;2000g;105x462.9mm;
Samyang 12mm 2.8 ED AS NCS Fisheye;12mm;1:2.8;;;0.20m;Sony E, Nikon F, Canon EF, Sony A, Samsung NX, Micro-Four-Thirds;APS-C/ Kleinbild;525g;77.3x98.7mm;
Walimex Pro 14mm 2.8;14mm;1:2.8;;;0.28m;Sony E, Canon EF-M, Sony A, Samsung NX, Pentax K, Micro-Four-Thirds;APS-C/ Kleinbild;550g;87x96.1mm;
Tokina AT-X Pro 16-28mm 2.8 FX;16-28mm;1:2.8;;1:5.62;;Canon EF;APS-C/ Kleinbild;950g;90x133.3mm;
Nikon AF-S VR 200-400mm 4.0G IF-ED II;200-400mm;1:4.0;52mm;1:3.70;2.00m;Nikon F;APS-C/ Kleinbild;3360g;124x365.5mm;
Nikon 1 NIKKOR 18.5mm 1.8;18.5mm;1:1.8;40.5mm;1:8.30;0.20m;Nikon 1;Nikon CX;70g;56x36mm;
