_id;Focal Length;Aperture;Filtersize;Magnification;Minimal Focus;Mount;Sensor compatibility;Weight;Size;
Leica Makro-Elmar-M 90mm 4.0 Set;90mm;1:4.0;39mm;1:6.70;0.77m;Leica M;APS-C/ Kleinbild;240g;52x59mm;
Irix 11mm 4.0 Firefly;11mm;1:4.0;30x30mm;;0.28m;Nikon F, Pentax K, Canon EF;APS-C/ Kleinbild;790g;118x103mm;
Tamron SP AF 24-70mm 2.8 Di USD;24-70mm;1:2.8;82mm;1:5.00;0.38m;Sony A;APS-C/ Kleinbild;825g;88.2x116.9mm;
Canon EF-S 18-55mm 3.5-5.6 IS STM;18-55mm;1:3.5-1:5.6;58mm;1:2.78;0.25m;Canon EF-S;APS-C;205g;69x75.2mm;
Walimex Pro T-S 24mm 3.5 CSC;24mm;1:3.5;82mm;;0.20m;Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C;730g;86x134mm;
Sony E 35mm 1.8 OSS;35mm;1:1.8;49mm;1:6.67;0.30m;Sony E;APS-C;155g;62x55.5mm;
Tamron SP AF 60mm 2.0 Di II LD IF Makro 1:1;60mm;1:2.0;55mm;1:1.00;0.23m;Nikon F, Sony A;APS-C;400g;73x80mm;
Sigma AF 70-300mm 4.0-5.6 DG Makro;70-300mm;1:4.0-1:5.6;58mm;1:4.10;1.50m;Canon EF, Pentax K, Nikon F;APS-C/ Kleinbild;530g;76.6x119.5mm;
Sigma AF 17-70mm 2.8-4.0 DC Asp IF Makro HSM;17-70mm;1:2.8-1:4.0;72mm;1:2.70;0.22m;Sony A;APS-C;535g;79x88.9mm;
Pentax Q 06 Telephoto Zoom 15-45mm 2.8 AL;15-45mm;1:2.8;40.5mm;1:20.00;1.00m;Pentax Q;Pentax Q;90g;50x56mm;
Samyang 50mm 1.4 AS UMC;50mm;1:1.4;77mm;;0.45m;Sony E, Canon EF, Pentax K, Four-Thirds, Canon EF-M, Sony A, Samsung NX, Micro-Four-Thirds;APS-C/ Kleinbild;565g;81.6x100.7mm;
Nikon AF-S VR DX 18-55mm 3.5-5.6G II;18-55mm;1:3.5-1:5.6;52mm;1:3.20;0.28m;Nikon F;APS-C;195g;66x59.5mm;
Samyang XP 14mm 2.4 UMC;14mm;1:2.4;;1:12.50;0.28m;Canon EF, Nikon F;APS-C/ Kleinbild;791g;95x109.4mm;
Nikon AF-S VR DX 18-140mm 3.5-5.6G ED;18-140mm;1:3.5-1:5.6;67mm;1:4.30;0.45m;Nikon F;APS-C;490g;78x97mm;
Zeiss ZF Distagon T* 15mm 2.8;15mm;1:2.8;95mm;1:18.18;0.25m;Nikon F;APS-C/ Kleinbild;730g;103x132mm;
Samyang 135mm T2.2 VDSLR ED UMC;135mm;1:2.2;77mm;;0.80m;Sony A;APS-C/ Kleinbild;830g;82x122mm;
Voigtländer VM Heliar 50mm 3.5;50mm;1:3.5;27mm;;0.70m;Leica M;Mittelformat;209g;52x43.2mm;
Samyang 10mm 2.8 ED AS NCS CS;10mm;1:2.8;;;0.25m;Micro-Four-Thirds, Sony E, Samsung NX;Four-Thirds;620g;86x104mm;
Pentax smc FA 645 300mm 4.0 ED IF;300mm;1:4.0;77mm;1:9.09;3.00m;Pentax 645;APS-C/ Kleinbild;1490g;83x207.5mm;
Samyang 20mm 1.8 ED AS UMC;20mm;1:1.8;77mm;;0.20m;Nikon F, Sony E, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C/ Kleinbild;488g;83x85.9mm;
Canon EF 85mm 1.8 USM;85mm;1:1.8;58mm;1:7.69;0.85m;Canon EF;APS-C/ Kleinbild;425g;75x71.5mm;
Tamron SP AF 150-600mm 5.0-6.3 Di USD G2;150-600mm;1:5.0-1:6.3;95mm;1:3.90;2.20m;Sony A;APS-C/ Kleinbild;2009g;108.4x260.2mm;
Canon EF 75-300mm 4.0-5.6 III;75-300mm;1:4.0-1:5.6;58mm;1:4.00;1.50m;Canon EF;APS-C/ Kleinbild;480g;71x122mm;
Samsung NX 50-200mm 4.0-5.6 ED OIS III i-Function;50-200mm;1:4.0-1:5.6;;1:2.0;0.98m;Samsung NX;APS-C;406g;70x100.5mm;
Voigtländer VM Heliar 15mm 4.5;15mm;1:4.5;58mm;;0.50m;Leica M;Mittelformat;;64.8x55.2mm;
Nikon AF-S VR 28-300mm 3.5-5.6G ED;28-300mm;1:3.5-1:5.6;77mm;1:3.13;0.50m;Nikon F;APS-C/ Kleinbild;800g;83x114.5mm;
Tamron AF 18-270mm 3.5-6.3 Di II PZD;18-270mm;1:3.5-1:6.3;62mm;1:3.80;0.49m;Sony A;APS-C;450g;74.4x96.4mm;
Sigma Art AF 35mm 1.4 DG HSM;35mm;1:1.4;67mm;1:5.20;0.30m;Nikon F, Canon EF, Sony A, Sigma SA;APS-C/ Kleinbild;665g;77x94mm;
Laowa 7.5mm 2.0;7.5mm;1:2.0;46mm;1:9.09;0.12m;Micro-Four-Thirds;Micro-Four-Thirds;170g;55x50mm;
Fujifilm XF 16mm 1.4 R WR;16mm;1:1.4;67mm;1:4.76;0.15m;Fujifilm X;APS-C;375g;73.4x73mm;
Pentax HD DA 40mm 2.8 Limited;40mm;1:2.8;49mm;1:7.69;0.40m;Pentax K;APS-C;89g;63x15mm;
Zeiss ZE Apo Sonnar T* 135mm 2.0;135mm;1:2.0;77mm;1:4.00;0.80m;Canon EF;APS-C/ Kleinbild;930g;84x108mm;
Sigma AF 15mm 2.8 EX DG Diagonal Fisheye;15mm;1:2.8;;1:3.80;0.15m;Pentax K, Sony A, Sigma SA, Nikon F;APS-C/ Kleinbild;370g;73.5x65mm;
Zeiss ZE Milvus 15mm 2.8;15mm;1:2.8;95mm;1:9.00;0.25m;Canon EF;APS-C/ Kleinbild;947g;102.3x100.2mm;
Fujifilm XF 60mm 2.4 R Makro;60mm;1:2.4;39mm;1:2.00;0.27m;Fujifilm X;APS-C;215g;64.1x70.9mm;
Zeiss ZF.2 Distagon T* 25mm 2.0;25mm;1:2.0;67mm;1:5.88;0.25m;Nikon F;APS-C/ Kleinbild;570g;71x95mm;
Leica Summarit-M 75mm 2.4;75mm;1:2.4;;;0.70m;Leica M;APS-C/ Kleinbild;325g;55x60.5mm;
Zeiss ZM Planar T* 50mm 2.0;50mm;1:2.0;43mm;1:12.05;0.70m;Leica M;APS-C/ Kleinbild;210g;;
Sigma Contemporary AF 18-300mm 3.5-6.3 DC Makro OS HSM;18-300mm;1:3.5-1:6.3;72mm;1:3.00;0.39m;Pentax K, Sigma SA;APS-C;585g;79x101.5mm;
SainSonic Kamlan 8mm 3.0;8mm;1:3.0;;;0.10m;Sony E;APS-C;245g;64x62mm;
Voigtländer Nokton 42.5mm 0.95;42.5mm;1:0.95;58mm;;0.23m;Micro-Four-Thirds;Four-Thirds;;64.3x74.6mm;
Nikon AF-S VR DX Micro 85mm 3.5G IF-ED;85mm;1:3.5;52mm;1:1.00;0.29m;Nikon F;APS-C;355g;73x98.5mm;
Panasonic Lumix G Vario 45-200mm 4.0-5.6 II OIS;45-200mm;1:4.0-1:5.6;52mm;1:5.26;1.00m;Micro-Four-Thirds;Four-Thirds;370g;70x100mm;
Samyang 14mm 2.8 Asph IF ED UMC;14mm;1:2.8;;;0.28m;Canon EF, Pentax K, Micro-Four-Thirds, Sony A, Samsung NX, Fujifilm X;APS-C/ Kleinbild;555g;92x86mm;
Sigma AF 70-300mm 4.0-5.6 DG APO Makro;70-300mm;1:4.0-1:5.6;58mm;1:4.10;0.95m;Canon EF, Sony A, Sigma SA, Pentax K;APS-C/ Kleinbild;550g;76.6x122mm;
Sony E PZ 18-105mm 4.0 G OSS;18-105mm;1:4.0;72mm;1:9.09;0.45m;Sony E;APS-C;427g;78x110mm;
Nikon AF-S VR 70-200mm 2.8E FL ED grau 100 Jahre;70-200mm;1:2.8;77mm;1:4.80;1.10m;Nikon F;APS-C/ Kleinbild;1430g;88.5x202.5mm;
Zeiss ZE Distagon T* 21mm 2.8;21mm;1:2.8;82mm;;0.17m;Canon EF;APS-C/ Kleinbild;600g;87x109mm;
Tokina AT-X 17-35mm 4.0 FX;17-35mm;1:4.0;;1:4.82;0.28m;Nikon F;APS-C/ Kleinbild;600g;89x94mm;
Laowa 60mm 2.8 2:1 Ultra-Macro;60mm;1:2.8;62mm;1:0.50;0.19m;Sony A, Pentax K, Nikon F, Canon EF;APS-C/ Kleinbild;503g;70x95mm;
Zeiss ZF.2 Milvus 135mm 2.0;135mm;1:2.0;77mm;1:4.00;0.80m;Nikon F;APS-C/ Kleinbild;1060g;89.7x114mm;
Walimex Pro 12mm 2.2 VCSC;12mm;1:2.2;67mm;;0.20m;Sony E, Samsung NX, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C;265g;73.6x59mm;
Panasonic Lumix G 30mm 2.8 Makro ASPH OIS;30mm;1:2.8;46mm;1:1.00;0.11m;Micro-Four-Thirds;Four-Thirds;180g;58.8x63.5mm;
Olympus M.Zuiko digital ED 17mm 1.2 PRO;17mm;1:1.2;62mm;1:6.67;0.20m;Micro-Four-Thirds;Four-Thirds;390g;68.2x87mm;
Voking 50mm 2.0;50mm;1:2.0;49mm;;0.65m;Fujifilm X, Sony E, Nikon 1, Canon EF-M;APS-C;188g;60.5x41mm;
Samsung NX 20-50mm 3.5-5.6 i-Function ED II;20-50mm;1:3.5-1:5.6;;1:4.54;0.28m;Samsung NX;APS-C;119g;64x39.8mm;
Walimex Pro 12mm 2.0 CSC;12mm;1:2.0;67mm;;0.20m;Sony E, Fujifilm X, Canon EF-M;APS-C;260g;72.5x59mm;
Dörr Danubia 650-1300mm 8.0 T2;650-1300mm;1:8.0;95mm;;5.00m;T2;;1850g;103x453mm;
Tokina AT-X Pro 100mm 2.8 Makro;100mm;1:2.8;55mm;1:1.00;0.30m;Nikon F;APS-C/ Kleinbild;540g;73x95.1mm;
Sigma Art AF 24-35mm 2.0 DG HSM;24-35mm;1:2.0;82mm;1:4.40;0.28m;Nikon F, Canon EF, Sigma SA;APS-C/ Kleinbild;940g;87.6x122.7mm;
Olympus M.Zuiko digital ED 12mm 2.0;12mm;1:2.0;46mm;1:12.50;0.20m;Micro-Four-Thirds;Four-Thirds;130g;56x43mm;
Leica Summarit-M 75mm 2.5;75mm;1:2.5;;1:9.90;0.90m;Leica M;APS-C/ Kleinbild;345g;55x60.5mm;
Pentax Q 02 Standard Zoom 5-15mm 2.8-4.5 AL;5-15mm;1:2.8-1:4.5;40.5mm;1:16.67;0.30m;Pentax Q;Pentax Q;96g;48.5x48mm;
Pentax HD DA 645 28-45mm 4.5 ED AW SR;28-45mm;1:4.5;82mm;1:4.76;0.40m;Pentax 645;APS-C;1470g;99x152mm;
Samyang T-S 24mm 3.5 ED AS UMC;24mm;1:3.5;82mm;;0.20m;Nikon F, Fujifilm X, Canon EF;APS-C/ Kleinbild;680g;86x112mm;
Samsung NX 18-55mm 3.5-5.6 OIS III i-Function;18-55mm;1:3.5-1:5.6;;1:4.54;0.28m;Samsung NX;APS-C;198g;63x65.1mm;
Sony E 18-55mm 3.5-5.6 OSS;18-55mm;1:3.5-1:5.6;49mm;1:3.33;0.25m;Sony E;APS-C;194g;62x60mm;
Canon EF 16-35mm 4.0 L IS USM;16-35mm;1:4.0;77mm;1:4.35;0.28m;Canon EF;APS-C/ Kleinbild;615g;82.6x112.8mm;
Nikon AF 35mm 2.0D;35mm;1:2.0;52mm;1:4.35;0.25m;Nikon F;APS-C/ Kleinbild;205g;64.5x43.5mm;
Samsung NX 16-50mm 3.5-5.6 ED PZ OIS i-Function;16-50mm;1:3.5-1:5.6;;1:4.17;0.28m;Samsung NX;APS-C;111g;65x31mm;
Tokina AT-X Pro 11-20mm 2.8 DX;11-20mm;1:2.8;82mm;1:8.62;0.28m;Nikon F;APS-C;560g;89x92mm;
Canon Objektiv CN-E 85mm T1.3 L F;85mm;1:1.3;;;;Canon EF;APS-C/ Kleinbild;1300g;118x102mm;
Sigma AF 500mm 4.5 EX DG APO HSM IF;500mm;1:4.5;46mm;1:7.70;4.00m;Nikon F, Sigma SA, Canon EF;APS-C/ Kleinbild;3150g;123x350mm;
Walimex Pro Set VDSLR All Star;;;;;;Sony E, Sony A, Nikon F, Canon EF;;;;
Sigma Art AF 30mm 2.8 DN;30mm;1:2.8;46mm;1:8.10;0.30m;Sony E, Micro-Four-Thirds;APS-C;;60.8x40.5mm;
Zeiss ZE Distagon T* 35mm 1.4;35mm;1:1.4;72mm;1:5.00;0.30m;Canon EF;APS-C/ Kleinbild;900g;78x120mm;
Pentax smc FA 645 80-160mm 4.5;80-160mm;1:4.5;77mm;1:5.88;1.00m;Pentax 645;APS-C/ Kleinbild;1010g;85x130.5mm;
Mitakon Creator 85mm 2.0;85mm;1:2.0;;;0.85m;Nikon F;APS-C/ Kleinbild;370g;;
Nikon 1 NIKKOR 11-27.5mm 3.5-5.6;11-27.5mm;1:3.5-1:5.6;40.5mm;1:10.00;0.30m;Nikon 1;Nikon CX;83g;57.5x31mm;
Samyang XEEN 50mm T1.5;50mm;1:1.5;;;0.45m;PL, Nikon F, Micro-Four-Thirds, Canon EF;APS-C/ Kleinbild;1160g;117.6x113.7mm;
Voigtländer VM Heliar 12mm 5.6;12mm;1:5.6;;;0.50m;Leica M;Mittelformat;;64.8x59.2mm;
Walimex Pro Set;;;;;;Nikon F, Canon EF;;;;
Sony FE 85mm 1.8;85mm;1:1.8;67mm;1:7.69;0.80m;Sony E;APS-C/ Kleinbild;371g;78x82mm;
Leica Summarit-S 35mm 2.5 ASPH;35mm;1:2.5;82mm;1:11.10;0.55m;Leica S;APS-C/ Kleinbild;930g;88x122mm;
Walimex Pro 8mm 3.8 Fisheye VDSLR;8mm;1:3.8;;;0.30m;Nikon F, Four-Thirds, Canon EF;APS-C;395g;75x74.8mm;
Nikon AF-S 24mm 1.8G ED;24mm;1:1.8;72mm;1:5.00;0.23m;Nikon F;APS-C/ Kleinbild;355g;77.5x83mm;
Pentax smc DFA 50mm 2.8 Makro;50mm;1:2.8;49mm;1:1.00;0.20m;Pentax K;APS-C/ Kleinbild;265g;67.5x60.5mm;
Tamron SP AF 35mm 1.8 Di VC USD;35mm;1:1.8;67mm;1:2.50;0.20m;Nikon F, Canon EF;APS-C/ Kleinbild;450g;80.4x78.3mm;
Walimex Pro 7.5mm 3.5 Fisheye;7.5mm;1:3.5;;;0.09m;Micro-Four-Thirds;Four-Thirds;170g;60x50mm;
Sigma AF 8mm 3.5 EX DG Zirkular Fisheye;8mm;1:3.5;;1:4.60;0.14m;Canon EF, Sigma SA;APS-C/ Kleinbild;400g;73.5x68.6mm;
SLR Magic Cine Mark 35mm 1.4;35mm;1:1.4;52mm;;0.30m;Micro-Four-Thirds, Fujifilm X;Four-Thirds;390g;55x70.3mm;
Irix 11mm 4.0 Blackstone;11mm;1:4.0;30x30mm;;0.28m;Pentax K;APS-C/ Kleinbild;790g;118x103mm;
Nikon 1 NIKKOR 32mm 1.2;32mm;1:1.2;52mm;1:13.00;0.45m;Nikon 1;Nikon CX;235g;65.5x47mm;
Nikon AF-S VR 500mm 4.0G ED;500mm;1:4.0;52mm;1:6.90;4.00m;Nikon F;APS-C/ Kleinbild;3880g;139.5x391mm;
Walimex Pro 100mm T3.1 Makro VCSC;100mm;1:3.1;67mm;1:1.00;0.30m;Micro-Four-Thirds, Fujifilm X;Four-Thirds;775g;82x149mm;
Tamron 28-300mm 3.5-6.3 XR Di VC LD PZD IF;28-300mm;1:3.5-1:6.3;67mm;1:2.80;0.49m;Nikon F, Canon EF;APS-C/ Kleinbild;540g;75x99.5mm;
Sigma Art AF 20mm 1.4 DG HSM;20mm;1:1.4;;1:7.10;0.28m;Sigma SA;APS-C/ Kleinbild;950g;90.7x129.8mm;
Canon EF-S 24mm 2.8 STM;24mm;1:2.8;52mm;;0.16m;Canon EF-S;APS-C;125g;68.2x22.8mm;
Nikon AF-S VR 24-70mm 2.8E ED;24-70mm;1:2.8;82mm;1:3.60;0.38m;Nikon F;APS-C/ Kleinbild;1070g;88x154.5mm;
Pentax smc DA 12-24mm 4.0 ED AL;12-24mm;1:4.0;77mm;1:8.33;0.30m;Pentax K;APS-C;430g;84x87.5mm;
Voigtländer Classic Collection Nokton 35mm 1.2;35mm;1:1.2;;;0.70m;Leica M;Mittelformat;490g;63x77.8mm;
Zeiss ZE Milvus 21mm 2.8;21mm;1:2.8;82mm;1:5.00;0.22m;Canon EF;APS-C/ Kleinbild;851g;95.5x95mm;
Sony FE 35mm 2.8 ZA;35mm;1:2.8;49mm;1:8.33;0.35m;Sony E;APS-C/ Kleinbild;120g;61.5x36.5mm;
Lensbaby Trio 28mm 3.5;28mm;1:3.5;46mm;;0.20m;Fujifilm X, Sony E, Micro-Four-Thirds;APS-C/ Kleinbild;139g;69.9x50.8mm;
Canon EF 14mm 2.8 L II USM;14mm;1:2.8;;1:6.67;0.20m;Canon EF;APS-C/ Kleinbild;645g;80x94mm;
Panasonic Lumix G Vario 12-32mm 3.5-5.6 ASPH OIS;12-32mm;1:3.5-1:5.6;37mm;1:7.69;0.20m;Micro-Four-Thirds;Four-Thirds;70g;55.5x24mm;
Tamron SP AF 10-24mm 3.5-4.5 Di II LD Asp IF;10-24mm;1:3.5-1:4.5;77mm;1:5.10;0.24m;Sony A, Nikon F;APS-C;370g;83.2x86.5mm;
Olympus M.Zuiko digital ED 45mm 1.2 PRO;45mm;1:1.2;62mm;1:10.00;0.50m;Micro-Four-Thirds;Four-Thirds;410g;70x84.9mm;
Canon EF-M 22mm 2.0 STM;22mm;1:2.0;43mm;1:4.76;0.15m;Canon EF-M;APS-C;105g;60.9x23.7mm;
Canon EF-S 10-22mm 3.5-4.5 USM;10-22mm;1:3.5-1:4.5;77mm;1:5.88;0.24m;Canon EF-S;APS-C;385g;83.5x89.8mm;
Sony FE 28-70mm 3.5-5.6 OSS;28-70mm;1:3.5-1:5.6;55mm;1:5.26;0.30m;Sony E;APS-C/ Kleinbild;295g;72.5x83mm;
Canon TS-E 45mm 2.8 Tilt/Shift;45mm;1:2.8;72mm;1:6.25;0.40m;Canon EF;APS-C/ Kleinbild;645g;81x90.1mm;
Voigtländer Classic Collection Color Skopar 21mm 4.0;21mm;1:4.0;;;0.50m;Leica M;Mittelformat;109g;49.6x29.1mm;
Nikon AF-S 85mm 1.4G;85mm;1:1.4;77mm;1:8.33;0.85m;Nikon F;APS-C/ Kleinbild;595g;86.5x84mm;
Meike 8mm 3.5 Fisheye;8mm;1:3.5;;;;Nikon F, Canon EF;APS-C/ Kleinbild;519g;77x84mm;
Nikon 50mm 1.4;50mm;1:1.4;52mm;;0.45m;Nikon F;APS-C/ Kleinbild;250g;63x40mm;
Tamron SP AF 45mm 1.8 Di USD;45mm;1:1.8;67mm;1:3.40;0.29m;Sony A;APS-C/ Kleinbild;540g;80.4x91.7mm;
Sony E 18-200mm 3.5-6.3 OSS LE;18-200mm;1:3.5-1:6.3;62mm;1:3.70;0.50m;Sony E;APS-C;460g;68x97.1mm;
Walimex Pro 24mm 1.5 VCSC;24mm;1:1.5;77mm;;0.25m;Pentax Q, Fujifilm X, Canon EF-M;APS-C;615g;83x97.5mm;
Sony FE 70-200mm 4.0 G OSS;70-200mm;1:4.0;72mm;1:7.69;1.00m;Sony E;APS-C/ Kleinbild;840g;80x175mm;
Sigma Art AF 19mm 2.8 DN;19mm;1:2.8;46mm;1:7.40;0.20m;Micro-Four-Thirds;Four-Thirds;;60.8x45.7mm;
Leica Elmarit-S 30mm 2.8 ASPH;30mm;1:2.8;82mm;1:11.30;0.50m;Leica S;APS-C/ Kleinbild;1060g;88x128mm;
Voigtländer Classic Collection Nokton 50mm;50mm;1:1.5;;;0.90m;Leica M;Mittelformat;243g;60x54.5mm;
Samyang 300mm 6.3 ED UMC CS Reflex;300mm;1:6.3;;;0.90m;Sony E, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C;318g;64.5x73.7mm;
Sigma AF 50-500mm 4.0-6.3 EX DG APO HSM RF;50-500mm;1:4.0-1:6.3;86mm;1:3.13;1.00m;Nikon F, Canon EF;APS-C/ Kleinbild;1840g;95x218.5mm;
Sigma AF 18-125mm 3.8-5.6 DC OS HSM;18-125mm;1:3.8-1:5.6;67mm;1:3.80;0.35m;Sony A;APS-C;505g;74x88.5mm;
Walimex Pro 16mm 2.2 VDSLR;16mm;1:2.2;77mm;;0.2m;Sony E, Sony A, Samsung NX, Pentax K, Nikon F, Micro-Four-Thirds, Fujifilm X, Canon EF-M;APS-C;620g;83x115.4mm;
Canon EF 70-300mm 4.0-5.6 IS II USM;70-300mm;1:4.0-1:5.6;67mm;1:4.00;1.20m;Canon EF;APS-C/ Kleinbild;710g;80x145.5mm;
Sigma AF 150mm 2.8 EX DG APO HSM OS Makro;150mm;1:2.8;72mm;1:1.00;0.38m;Nikon F, Canon EF;APS-C/ Kleinbild;1180g;79.6x150mm;
Irix 15mm 2.4 Blackstone;15mm;1:2.4;95mm,;;0.28m;Pentax K, Nikon F, Canon EF;APS-C/ Kleinbild;653g;114x100mm;
Pentax HD DFA 15-30mm 2.8 ED SDM WR;15-30mm;1:2.8;;1:5.00;0.28m;Pentax K;APS-C/ Kleinbild;1040g;98.5x143.5mm;
Panasonic/Leica DG Vario Elmar 100-400mm 4.0-6.3 ASPH Power OIS;100-400mm;1:4.0-1:6.3;72mm;1:2.00;1.30m;Micro-Four-Thirds;Four-Thirds;985g;83x172mm;
Nikon AF-S 300mm 4.0D IF-ED;300mm;1:4.0;77mm;1:3.70;1.45m;Nikon F;APS-C/ Kleinbild;1440g;90x222.5mm;
Irix 15mm 2.4 Firefly;15mm;1:2.4;95mm,;;0.28m;Pentax K, Canon EF;APS-C/ Kleinbild;608g;114x100mm;
Leica Summilux-M 35mm 1.4 ASPH;35mm;1:1.4;46mm;1:17.40;0.70m;Leica M;APS-C/ Kleinbild;250g;53x46.2mm;
Zeiss ZE Distagon T* 28mm 2.0;28mm;1:2.0;;1:4.00;0.24m;Canon EF;APS-C/ Kleinbild;530g;65x94mm;
